date,ticker,sentiment,exp_mean_7_days
2024-05-05,TSLA,0.036190476190476197,0.036190476190476197
2024-05-04,TSLA,0.06266489297739299,0.04280908038720539
2024-05-03,TSLA,0.027797749388658477,0.03905624763756867
2024-05-02,TSLA,0.001443278943278943,0.029653005463996237
2024-05-01,TSLA,0.16274166666666667,0.06292517076466385
2024-04-30,TSLA,0.12495543672014259,0.07843273725353353
2024-04-18,TSLA,0.1443942393913676,0.09492311278799205
2024-04-17,TSLA,0.09241710444059045,0.09429661070114165
2024-04-16,TSLA,0.018768545477947186,0.07541459439534304
2024-02-27,TSLA,0.08091122868900645,0.0767887529687589
2024-02-26,TSLA,0.15276412538028492,0.0957825960716404
2024-02-25,TSLA,0.025,0.0780869470537303
2024-02-24,TSLA,0.049488636363636374,0.07093736938120682
2024-02-23,TSLA,0.13497254816333765,0.08694616407673952
2024-02-22,TSLA,0.21296296296296294,0.11845036379829538
2024-01-07,TSLA,0.09936317540484207,0.11367856669993205
2024-01-06,TSLA,0.39727078477078476,0.18457662121764523
2024-01-05,TSLA,0.03457336714912472,0.14707580770051512
2024-01-04,TSLA,0.10871168542291536,0.13748477713111518
2024-01-03,TSLA,0.11645518445411912,0.13222737896186615
2023-11-17,TSLA,-0.12257936507936508,0.06852569295155835
2023-11-16,TSLA,0.032539682539682535,0.05952919034858939
2023-11-15,TSLA,0.2258185552151684,0.10110153156523413
2023-11-14,TSLA,0.1150182918932919,0.10458072164724856
2023-11-13,TSLA,0.39318181818181813,0.17673099578089096
2023-09-27,TSLA,0.164868068439497,0.17376526394554248
2023-09-26,TSLA,0.20208686735075623,0.1808456647968459
2023-09-25,TSLA,0.11279861111111111,0.1638339013754122
2023-09-24,TSLA,0.1875,0.16975042603155915
2023-08-07,TSLA,0.024046438410074776,0.13332442912618805
2023-08-06,TSLA,0.5,0.22499332184464105
2023-08-05,TSLA,0.09166666666666667,0.19166165805014745
2023-08-04,TSLA,0.0884226135817045,0.1658518969330367
2023-08-03,TSLA,0.054047619047619046,0.13790082746168228
2023-08-02,TSLA,0.05289620807000486,0.11664967261376291
2023-08-01,TSLA,0.011111111111111108,0.09026503223809997
2023-06-17,TSLA,0.11944444444444444,0.0975598852896861
2023-06-16,TSLA,-0.0005538579067990851,0.07303144949056481
2023-06-15,TSLA,0.1918402777777778,0.10273365656236805
2023-06-14,TSLA,0.1527125420875421,0.11522837794366156
2023-06-13,TSLA,0.14067986411736413,0.12159124948708719
2023-04-27,TSLA,0.14129647667147668,0.12651755628318456
2023-04-26,TSLA,0.11092686667154752,0.12261988388027531
2023-04-25,TSLA,0.07061571067821067,0.10961884057975914
2023-03-07,TSLA,0.11648986430236428,0.11133659651041043
2023-03-06,TSLA,0.06918650793650793,0.1007990743669348
2023-03-05,TSLA,-0.0725417439703154,0.05746386978262225
2023-03-04,TSLA,0.2333333333333333,0.10143123567030002
2023-01-15,TSLA,0.15583333333333332,0.11503176008605835
2023-01-14,TSLA,0.12018603240194148,0.11632032816502913
2023-01-13,TSLA,0.05494432586446476,0.10097632758988803
2023-01-12,TSLA,0.26805555555555555,0.14274613458130492
2022-11-25,TSLA,0.1022067775974026,0.13261129533532934
2022-11-24,TSLA,0.08333333333333333,0.12029180483483033
2022-11-23,TSLA,0.15706956057886118,0.12948624377083806
2022-11-22,TSLA,-0.125,0.06586468282812855
2022-10-05,TSLA,0.17342923148570077,0.09275581999252161
2022-10-04,TSLA,0.11925696237647992,0.0993811055885112
2022-08-15,TSLA,0.087306162532353,0.09636236982447165
2022-08-14,TSLA,0.1,0.09727177736835374
2022-08-13,TSLA,-0.052649572649572644,0.05979143986387214
2022-08-12,TSLA,0.035350657939943644,0.053681244382890014
2022-08-11,TSLA,0.17196807821807822,0.08325295284168707
2022-06-25,TSLA,0.25,0.1249397146312653
2022-06-24,TSLA,0.05921207438405819,0.10850780456946352
2022-06-23,TSLA,0.09105558182558182,0.1041447488834931
